salary_in_usd,remote_ratio,company_size,experience_level
130000,0,M,MI
90000,0,M,MI
136620,100,M,SE
99360,100,M,SE
117789,0,M,SE
104702,0,M,SE
146000,100,M,SE
123000,100,M,SE
65438,0,M,MI
39263,0,M,MI
165220,100,M,SE
120160,100,M,SE
180000,0,L,SE
120000,0,L,SE
95550,0,M,SE
167000,100,M,SE
123000,100,M,SE
150000,0,M,SE
211500,100,M,SE
138600,100,M,SE
170000,100,M,SE
123000,100,M,SE
215300,100,L,SE
158200,100,L,SE
180000,100,M,SE
71982,0,M,MI
45807,0,M,MI
260000,100,M,SE
180000,0,M,SE
80000,0,M,SE
140400,0,L,SE
215300,0,L,SE
31615,100,L,MI
18442,100,M,EN
104890,100,M,SE
140000,100,M,SE
220000,100,M,SE
140000,100,M,SE
183228,0,M,MI
91614,0,M,MI
185100,100,M,SE
200000,100,M,MI
120000,100,M,MI
230000,100,M,SE
35590,100,L,MI
100000,100,M,SE
165000,100,M,SE
52396,100,L,EN
40000,100,L,EN
86703,50,M,EN
48000,100,S,MI
122346,0,L,MI
69336,100,M,MI
135000,100,L,MI
78000,100,M,MI
141300,0,M,MI
102100,0,M,MI
205300,0,L,SE
140400,0,L,SE
176000,100,M,SE
144000,100,M,SE
205300,0,M,SE
140400,0,M,SE
140000,100,M,SE
210000,100,M,SE
140000,100,M,SE
210000,100,M,SE
140000,100,M,SE
210000,100,M,SE
140000,100,M,SE
230000,100,M,SE
150000,100,M,SE
210000,100,M,SE
160000,100,M,MI
130000,100,M,MI
